,year,name,college,pos,height,weight,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,40_yard_percentile,bench_press_percentile,vert_leap_percentile,broad_jump_percentile,shuttle_percentile,3_cone_percentile,avg_percentile
0,2000,Darnell Alford,Boston College,OT,76.0,334,,5.58,23.0,25.0,94.0,4.98,8.48,0.166666667,0.388888889,0.133333333,0.0,0.142857143,0.0,0.13862433866666665
1,2000,Kyle Allamon,Texas Tech,TE,74.5,253,,5.01,,29.0,104.0,4.49,7.29,0.166666667,,0.1,0.1,0.125,0.375,
2,2000,Rashard Anderson,Jackson State (MS),CB,74.4,206,,4.59,,34.0,123.0,4.15,7.18,0.185185185,,0.12,0.807692308,0.454545455,0.217391304,
3,2000,Corey Atkins,South Carolina,OLB,72.4,237,,4.76,21.0,31.0,112.0,4.39,7.96,0.25,0.384615385,0.076923077,0.307692308,0.272727273,0.0,0.21532634050000002
4,2000,Reggie Austin,Wake Forest,CB,69.4,175,,4.46,17.0,35.0,119.0,4.14,7.03,0.814814815,0.75,0.32,0.461538462,0.5,0.434782609,0.546855981
5,2000,Mark Baniewicz,Syracuse,OT,77.9,312,,5.36,20.0,28.0,96.0,4.73,7.72,0.555555556,0.111111111,0.733333333,0.266666667,0.571428571,0.642857143,0.4801587301666666
6,2000,Rashidi Barnes,Colorado,FS,71.6,208,,4.63,10.0,35.0,114.0,4.32,6.92,0.272727273,0.125,0.111111111,0.111111111,0.2,0.555555556,0.22925084183333336
7,2000,David Barrett,Arkansas,CB,69.9,199,,4.48,16.0,37.5,116.0,4.04,6.81,0.703703704,0.4,0.76,0.115384615,0.636363636,0.652173913,0.5446043113333333
8,2000,William Bartee,Oklahoma,CB,73.0,192,,4.43,,38.5,124.0,3.99,6.7,0.962962963,,0.92,0.846153846,0.863636364,0.869565217,
9,2000,Terrance Beadles,Arkansas-Pine Bluff,OG,74.9,312,,5.21,29.0,,,,,0.666666667,0.833333333,,,,,
10,2000,Robert Bean,Mississippi State,CB,71.0,178,,4.5,,34.5,122.0,4.2,6.87,0.592592593,,0.24,0.730769231,0.363636364,0.608695652,
11,2000,Anthony Becht,West Virginia,TE,77.6,270,,4.78,,33.5,123.0,4.08,6.94,0.583333333,,0.7,0.9,1.0,0.75,
12,2000,Rogers Beckett,Marshall (WV),FS,73.5,207,,4.64,15.0,39.5,119.0,4.29,6.48,0.181818182,0.625,1.0,0.444444444,0.3,1.0,0.5918771043333333
13,2000,Brad Bedell,Colorado,OG,76.4,302,,5.12,17.0,31.5,103.0,4.58,7.76,0.952380952,0.055555556,0.944444444,0.777777778,0.875,0.882352941,0.7479186118333333
14,2000,Marcus Bell,Arizona,ILB,73.6,237,,4.8,21.0,31.5,111.0,4.33,7.17,0.4,0.555555556,0.333333333,0.375,0.25,0.625,0.4231481481666666
15,2000,Michael Boireau,Miami (FL),DE,76.1,274,,5.12,26.0,29.0,105.0,4.49,7.68,0.125,0.615384615,0.066666667,0.066666667,0.428571429,0.230769231,0.25550976816666665
16,2000,Matt Bowen,Iowa,SS,73.1,201,,4.51,12.0,33.0,115.0,4.09,7.06,0.888888889,0.0,0.166666667,0.142857143,0.833333333,0.166666667,0.3664021165
17,2000,Tom Brady,Michigan,QB,76.4,211,33.0,5.3,,24.5,99.0,4.38,7.2,0.058823529,,0.0,0.235294118,0.615384615,0.769230769,
18,2000,Robert Brannon,Iowa State,DT,75.8,309,,5.22,28.0,28.5,99.0,4.7,7.82,0.285714286,0.736842105,0.263157895,0.157894737,0.352941176,0.176470588,0.32883679783333336
19,2000,Demario Brown,Utah State,RB,72.4,217,,4.74,,31.0,107.0,4.39,7.17,0.076923077,,0.136363636,0.0,0.263157895,0.210526316,
20,2000,Keith Brown,UCLA,RB,71.1,216,,4.68,,30.0,117.0,4.08,6.64,0.269230769,,0.045454545,0.333333333,0.842105263,0.894736842,
21,2000,Mike Brown,Nebraska,SS,69.9,204,,4.6,14.0,36.0,116.0,4.01,6.93,0.444444444,0.222222222,0.5,0.428571429,1.0,0.666666667,0.5436507936666667
22,2000,Ralph Brown,Nebraska,CB,69.9,204,,4.6,14.0,36.0,116.0,4.01,6.93,0.148148148,0.25,0.52,0.115384615,0.681818182,0.52173913,0.37284834583333337
23,2000,Travis Brown,Northern Arizona,QB,75.5,218,35.0,5.03,,29.0,101.0,4.87,7.54,0.352941176,,0.571428571,0.529411765,0.0,0.153846154,
24,2000,Lamont Bryant,Notre Dame,DE,75.4,260,,4.92,17.0,,,,,0.5625,0.0,,,,,
25,2000,Marc Bulger,West Virginia,QB,73.6,208,29.0,4.96,,,100.0,4.34,7.46,0.470588235,,,0.352941176,0.692307692,0.307692308,
26,2000,Keith Bulluck,Syracuse,OLB,75.0,244,,4.47,,38.0,119.0,4.13,7.33,1.0,,1.0,0.769230769,0.909090909,0.272727273,
27,2000,Bill Burke,Michigan State,QB,75.9,206,30.0,5.07,,28.5,107.0,4.42,7.46,0.235294118,,0.5,0.705882353,0.307692308,0.307692308,
28,2000,Plaxico Burress,Michigan State,WR,77.4,231,,4.59,,33.0,115.0,,,0.357142857,,0.125,0.12,,,
29,2000,David Byrd,Syracuse,CB,71.4,202,,4.55,14.0,36.0,117.0,4.39,7.18,0.407407407,0.25,0.52,0.346153846,0.045454545,0.217391304,0.297734517
30,2000,Trung Canidate,Arizona,RB,70.6,193,,4.46,18.0,,,,,0.884615385,0.368421053,,,,,
31,2000,Cooper Carlisle,Florida,OG,77.4,297,,5.2,28.0,31.0,100.0,4.48,7.82,0.714285714,0.777777778,0.833333333,0.5,0.9375,0.764705882,0.7546004511666666
32,2000,Giovanni Carmazzi,Hofstra (NY),QB,74.6,224,32.0,4.76,,36.5,119.0,4.23,6.94,0.882352941,,1.0,1.0,0.846153846,1.0,
33,2000,Leonardo Carson,Auburn,DE,73.5,283,,5.06,22.0,28.0,106.0,4.75,7.82,0.25,0.230769231,0.0,0.133333333,0.0,0.153846154,0.127991453
34,2000,Tyrone Carter,Minnesota,SS,67.6,190,,4.53,16.0,41.0,121.0,4.19,6.75,0.777777778,0.666666667,1.0,0.857142857,0.5,1.0,0.8002645503333333
35,2000,Kwame Cavil,Texas,WR,73.6,208,,4.54,,39.5,118.0,,,0.714285714,,0.958333333,0.36,,,
36,2000,Doug Chapman,Marshall (WV),RB,70.0,215,,4.59,16.0,38.5,128.0,4.2,6.84,0.538461538,0.263157895,0.954545455,0.958333333,0.526315789,0.684210526,0.654170756
37,2000,Ike Charlton,Virginia Tech,CB,71.1,205,,4.47,16.0,,126.0,,,0.740740741,0.4,,0.961538462,,,
38,2000,Chrys Chukwuma,Arkansas,RB,73.0,232,,4.56,,,115.0,,,0.653846154,,,0.208333333,,,
39,2000,Joey Chustz,Louisiana Tech,OT,78.6,304,,5.12,28.0,31.0,103.0,4.65,7.65,0.888888889,0.833333333,0.933333333,0.866666667,1.0,0.857142857,0.8965608465
40,2000,Kendrick Clancy,Mississippi,DT,72.9,283,,5.28,25.0,27.5,108.0,4.65,7.98,0.142857143,0.421052632,0.0,0.736842105,0.411764706,0.058823529,0.29522335250000004
41,2000,Travis Claridge,Southern California,OG,77.1,303,,5.18,29.0,31.5,100.0,4.86,7.77,0.904761905,0.833333333,0.944444444,0.5,0.375,0.823529412,0.7301781823333333
42,2000,Danny Clark,Illinois,ILB,74.1,245,,4.77,20.0,,,,,0.5,0.333333333,,,,,
43,2000,Chad Clifton,Tennessee,OT,77.3,334,,5.12,24.0,30.5,102.0,4.73,7.58,0.888888889,0.5,0.866666667,0.8,0.571428571,0.928571429,0.7592592593333333
44,2000,Chris Cole,Texas A&M,WR,72.1,191,,4.37,,37.5,125.0,4.09,6.76,1.0,,0.75,0.84,0.722222222,0.947368421,
45,2000,Chris Coleman,North Carolina State,WR,71.8,211,,4.65,,32.5,110.0,4.1,6.79,0.142857143,,0.041666667,0.08,0.666666667,0.894736842,
46,2000,Cosey Coleman,Tennessee,OG,76.0,322,,5.4,,28.0,101.0,4.97,8.15,0.380952381,,0.388888889,0.666666667,0.25,0.294117647,
